order_id,country, order_value_EUR , cost ,Date,category,customer_name,sales_manager,sales_rep,device_type
41-6407014,Finland,236462.3,205674.91,23-12-2020,Clothing,Hessel-Stiedemann,Hube Corey,Wat Bowkley,PC
22-6745595,Portugal,172989.17,142975.55,10-06-2020,Beauty,Romaguera-Dietrich,Celine Tumasian,Hortense Gerring,PC
96-3022721,Sweden,48179.57,41405.52,14-08-2020,Books,Franecki-White,Maxie Marrow,Anita Woakes,PC
48-0713329,Portugal,121318.55,102890.26,10-03-2020,Electronics,"Jacobson, Marvin and Brown",Celine Tumasian,Aurelie Wren,Tablet
50-0942872,Belgium,93153.98,79702.55,03-04-2020,Appliances,Armstrong-Little,Lambert Norheny,Collin Mackness,Mobile
78-2307905,Bulgaria,98289.32,84116,15-02-2019,Appliances,"Murray, Reichel and Nolan",Charil Alpe,Shermy McGready,PC
63-0019978,Luxembourg,108920.56,94270.74,08-07-2019,Books,"Swaniawski, Runolfsson and Green",Ilsa Kob,Jocelyn Laurentino,PC
26-9948924,Portugal,37273.84,31559.76,20-01-2020,Games,Considine-Fisher,Celine Tumasian,Aurelie Wren,Tablet
72-7630507,Spain,221745.05,190767.27,25-06-2019,Appliances,Kirlin and Sons,Emalia Dinse,Bertha Walbrook,Mobile
36-3410564,Netherlands,54566.99,43757.27,23-03-2020,Smartphones,Friesen-Rath,Denice Amberg,Nero Harbisher,PC
82-4653018,Portugal,111639.29,97204.33,28-10-2019,Smartphones,"Keeling, Monahan and Pollich",Celine Tumasian,Hortense Gerring,PC
29-1001593,Sweden,74273.54,61981.27,28-03-2020,Beauty,"Swaniawski, Runolfsson and Green",Maxie Marrow,Caro Morfield,PC
59-5568557,Portugal,95566.43,80342.7,07-05-2019,Clothing,Hessel-Stiedemann,Celine Tumasian,Hortense Gerring,PC
12-1249283,France,28783.05,24776.45,29-03-2019,Clothing,Dibbert Inc,Othello Bowes,Maighdiln Upcraft,PC
96-0180648,UK,124414.74,98959.48,13-06-2019,Outdoors,Labadie and Sons,Jessamine Apark,Winny Agnolo,PC
51-9029547,Portugal,153029.72,125117.1,28-01-2020,Games,Friesen-Rath,Celine Tumasian,Corene Shirer,PC
84-2614836,Sweden,174919.64,146845.04,03-11-2020,Clothing,Wiza and Sons,Maxie Marrow,Caro Morfield,Mobile
57-6995715,France,55804.05,46401.07,05-03-2019,Electronics,"Rowe, Hermiston and Kessler",Othello Bowes,Crysta Halls,PC
27-4115444,France,89160.66,75367.51,18-11-2019,Beauty,Wiza and Sons,Othello Bowes,Crysta Halls,PC
34-3302340,UK,27987.13,24001.76,26-03-2019,Games,Labadie and Sons,Jessamine Apark,Genevra Charrisson,PC
25-6638623,France,18326.41,15067.97,03-02-2019,Games,"Schmitt, Purdy and Johnson",Othello Bowes,Ora Grennan,PC
11-5260310,Netherlands,62708.6,51414.78,29-08-2019,Smartphones,"Hamill, Kulas and Roob",Denice Amberg,Nero Harbisher,PC
68-5024232,UK,124668.36,103998.35,05-11-2020,Games,Hessel-Stiedemann,Jessamine Apark,Winny Agnolo,PC
90-2530115,Italy,109390.57,87414,12-11-2020,Other,Schoen-Keeling,Piggy Roscrigg,Joshua Prevost,Mobile
23-8271333,Portugal,103279.79,82334.65,12-03-2020,Appliances,Johns and Sons,Celine Tumasian,Aurelie Wren,PC
99-7422044,France,173478.65,139650.31,29-01-2019,Books,Johns and Sons,Othello Bowes,Avrit Chanders,PC
67-6692861,Sweden,57927.54,48914.01,18-01-2019,Games,"Fisher, Morar and Skiles",Maxie Marrow,Alyosha Meah,Mobile
20-3441688,Portugal,84767.77,68950.1,18-01-2020,Electronics,McGlynn-Bergstrom,Celine Tumasian,Smitty Culverhouse,Mobile
80-8230605,France,138175.53,116744.51,03-11-2020,Other,"Spencer, Rogahn and Muller",Othello Bowes,Ora Grennan,PC
18-0704377,Portugal,143107.89,121241,02-11-2020,Electronics,Kirlin and Sons,Celine Tumasian,Hortense Gerring,Mobile
47-5524071,Sweden,54446.5,44989.14,09-03-2020,Appliances,Wunsch LLC,Maxie Marrow,Alyosha Meah,Tablet
76-2572347,Portugal,136324.9,110436.8,29-10-2019,Electronics,Walter LLC,Celine Tumasian,Hortense Gerring,Tablet
74-4429133,Portugal,43066.58,36154.39,08-02-2019,Games,"Hamill, Kulas and Roob",Celine Tumasian,Hortense Gerring,Mobile
69-1300467,France,224626.25,189988.88,21-07-2020,Electronics,"Christiansen, Donnelly and Bechtelar",Othello Bowes,Ora Grennan,PC
99-8643527,France,115689.22,98127.6,15-07-2019,Clothing,Altenwerth-Konopelski,Othello Bowes,Avrit Chanders,PC
14-1143584,Bulgaria,78293.94,66236.67,13-10-2019,Appliances,"Rowe, Hermiston and Kessler",Charil Alpe,Bernadine Fullagar,Mobile
62-4331197,Portugal,92698.45,73454.25,13-01-2020,Clothing,Hessel-Stiedemann,Celine Tumasian,Corene Shirer,PC
02-3333733,Bulgaria,83141.47,72000.51,15-03-2019,Outdoors,Wisoky Inc,Charil Alpe,Shermy McGready,Mobile
09-3959499,Portugal,38982.26,32854.25,12-10-2019,Clothing,Hegmann Group,Celine Tumasian,Smitty Culverhouse,Mobile
55-7848276,Portugal,57120.58,49654.92,25-11-2019,Games,"Leffler, Prohaska and Streich",Celine Tumasian,Aurelie Wren,PC
98-1814878,Sweden,240759.07,205415.64,14-06-2020,Appliances,"Schmitt, Purdy and Johnson",Maxie Marrow,Tarrah Castelletti,PC
83-9569509,Sweden,53849.12,47354.92,15-04-2020,Games,"Rowe, Hermiston and Kessler",Maxie Marrow,Alyosha Meah,PC
44-1953194,Ireland,361182.87,288368.4,02-12-2019,Books,Smith Group,Glenine Suttaby,Bunnie Tonbridge,PC
50-0376562,Sweden,97063.22,78067.95,19-10-2019,Appliances,"Zieme, Bailey and Herzog",Maxie Marrow,Madelon Bront,Tablet
06-9596696,Spain,39110.97,34315.97,27-10-2019,Clothing,"Bashirian, Okuneva and Bechtelar",Emalia Dinse,Perri Aldersley,PC
46-2632808,France,123672.7,106036.97,13-11-2020,Smartphones,McGlynn-Prosacco,Othello Bowes,Crysta Halls,PC
77-7771177,France,144640.8,118345.1,11-04-2019,Electronics,"Murray, Reichel and Nolan",Othello Bowes,Avrit Chanders,PC
13-0624842,France,268779.03,233676.49,27-12-2019,Smartphones,O'Connell-Mitchell,Othello Bowes,Ora Grennan,Mobile
71-4409662,Sweden,53593.86,45629.81,12-07-2020,Electronics,Friesen-Rath,Maxie Marrow,Caro Morfield,PC
46-0270404,France,155044.02,134268.12,25-10-2019,Beauty,West-Cummings,Othello Bowes,Amelina Piscopiello,PC
70-7107956,Portugal,102495.13,85009.46,08-08-2020,Smartphones,"Hermiston, Simonis and Wisoky",Celine Tumasian,Hortense Gerring,Tablet
84-5310661,Portugal,294472.77,255572.92,11-06-2019,Smartphones,Gislason-Stanton,Celine Tumasian,Smitty Culverhouse,Tablet
75-6638402,Sweden,64053.77,54733.95,01-09-2020,Beauty,Armstrong-Little,Maxie Marrow,Anita Woakes,PC
53-0615558,UK,24543.72,19492.62,22-03-2019,Clothing,Hessel-Stiedemann,Jessamine Apark,Jay Morefield,PC
00-2549549,Portugal,161544.06,132579.21,12-09-2019,Clothing,Johns and Sons,Celine Tumasian,Smitty Culverhouse,PC
23-1397222,Portugal,50303.66,41103.12,06-01-2020,Appliances,"Christiansen, Donnelly and Bechtelar",Celine Tumasian,Smitty Culverhouse,PC
00-4698524,Sweden,124593.04,109106.13,11-01-2020,Appliances,Johns and Sons,Maxie Marrow,Madelon Bront,Mobile
76-3837496,Sweden,44147.92,37163.72,18-05-2020,Beauty,"Murray, Reichel and Nolan",Maxie Marrow,Madelon Bront,PC
61-7979087,Bulgaria,42239.66,37039.96,17-05-2019,Smartphones,Johns and Sons,Charil Alpe,Shermy McGready,PC
52-8377955,Sweden,113763.38,91158.6,01-04-2020,Books,"Christiansen, Donnelly and Bechtelar",Maxie Marrow,Madelon Bront,PC
87-6162387,Portugal,183363.6,155033.92,24-06-2019,Smartphones,Johns and Sons,Celine Tumasian,Hortense Gerring,PC
11-8965256,France,85220.83,73767.15,15-09-2019,Beauty,"Shanahan, Schaden and Parker",Othello Bowes,Crysta Halls,Tablet
16-9079414,Portugal,87513.27,72469.74,05-03-2020,Books,"Lubowitz, McLaughlin and Erdman",Celine Tumasian,Corene Shirer,Mobile
15-9091881,Bulgaria,37073.91,30274.55,26-04-2019,Books,Rath-Schroeder,Charil Alpe,Bernadine Fullagar,Tablet
07-3222085,France,122139.94,103684.6,02-11-2019,Smartphones,Smith Group,Othello Bowes,Ora Grennan,PC
20-3384992,France,107586.21,94525.24,07-06-2020,Electronics,"Spencer, Rogahn and Muller",Othello Bowes,Amelina Piscopiello,PC
09-3404706,UK,203958.16,176444.2,02-12-2020,Appliances,Larkin-Collier,Jessamine Apark,Genevra Charrisson,PC
97-8712680,Portugal,55132.39,47121.65,11-06-2019,Clothing,"Dickinson, Hyatt and Berge",Celine Tumasian,Hortense Gerring,PC
43-4245267,Ireland,135424.06,116275.1,15-01-2020,Electronics,"Hamill, Kulas and Roob",Glenine Suttaby,Palm Wetherald,PC
58-8969119,Sweden,167123.72,132946.92,01-08-2019,Smartphones,Hegmann Group,Maxie Marrow,Alyosha Meah,PC
88-8436664,Germany,92868.37,79068.13,30-03-2020,Electronics,"Fisher, Morar and Skiles",Rickard Doogood,Casie MacBain,PC
35-6825112,Portugal,108689.45,91223.06,09-11-2019,Appliances,Walter LLC,Celine Tumasian,Brynn Dempster,Mobile
24-4511396,Portugal,79874.42,68132.88,14-11-2020,Outdoors,"Farrell, Swaniawski and Crist",Celine Tumasian,Smitty Culverhouse,PC
99-0564964,Germany,153011.39,131543.89,13-09-2019,Appliances,Johns and Sons,Rickard Doogood,Casie MacBain,PC
47-9920494,Portugal,72857.41,60442.51,10-05-2020,Clothing,Armstrong-Little,Celine Tumasian,Brynn Dempster,PC
82-9352154,France,102771.44,83584.01,24-11-2019,Accessories,McClure Inc,Othello Bowes,Maighdiln Upcraft,PC
74-6920956,UK,90559.16,75318.05,26-08-2019,Outdoors,"Dickinson, Hyatt and Berge",Jessamine Apark,Genevra Charrisson,PC
16-8778373,Portugal,141796.75,112317.21,16-09-2020,Games,Johns and Sons,Celine Tumasian,Corene Shirer,PC
85-4014655,Bulgaria,103874.1,82112.48,14-01-2019,Outdoors,Johns and Sons,Charil Alpe,Shermy McGready,PC
25-2355172,Spain,134908.19,114388.65,18-08-2020,Clothing,Romaguera-Dietrich,Emalia Dinse,Perri Aldersley,PC
31-7667796,Portugal,45256.74,38975.1,14-01-2019,Other,"Spencer, Rogahn and Muller",Celine Tumasian,Smitty Culverhouse,PC
39-2536155,Portugal,131018.65,107920.06,02-04-2020,Clothing,Hane Inc,Celine Tumasian,Brynn Dempster,PC
30-8840089,Ireland,84877.87,68454,01-12-2019,Electronics,"Zieme, Bailey and Herzog",Glenine Suttaby,Bunnie Tonbridge,PC
93-8309926,France,168197.78,144246.42,13-01-2019,Smartphones,Kihn Inc,Othello Bowes,Crysta Halls,PC
42-7823733,UK,383996.76,304701.43,19-12-2019,Other,Johns and Sons,Jessamine Apark,Winny Agnolo,PC
03-9337803,France,56811.14,48221.3,07-10-2019,Clothing,"Schowalter, Lesch and Beahan",Othello Bowes,Ora Grennan,PC
42-1879788,Portugal,74364.46,60145.98,21-01-2020,Clothing,Altenwerth-Konopelski,Celine Tumasian,Aurelie Wren,Mobile
42-8394841,Finland,235608.66,201468.96,27-07-2020,Games,Hegmann Group,Hube Corey,Wat Bowkley,Tablet
84-5642889,Sweden,31627.37,25662.45,27-08-2020,Beauty,"Christiansen, Donnelly and Bechtelar",Maxie Marrow,Caro Morfield,Mobile
92-7234550,Sweden,57227.99,46331.78,28-03-2019,Appliances,Johns and Sons,Maxie Marrow,Alyosha Meah,PC
98-5721101,Portugal,84598.68,72391.09,28-04-2020,Clothing,"Hamill, Kulas and Roob",Celine Tumasian,Brynn Dempster,PC
32-9344186,Sweden,98322.98,84872.4,09-10-2020,Clothing,Hessel-Stiedemann,Maxie Marrow,Tarrah Castelletti,PC
40-7356336,Netherlands,62567.58,49916.42,21-04-2019,Clothing,Hessel-Stiedemann,Denice Amberg,Nero Harbisher,PC
94-1762263,Sweden,239423.57,199152.52,08-12-2019,Electronics,"Hamill, Kulas and Roob",Maxie Marrow,Madelon Bront,Mobile
26-5649751,France,68773.03,59082.91,30-09-2019,Games,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,PC
88-5343320,Germany,102918.09,87480.38,28-10-2019,Smartphones,"Swaniawski, Runolfsson and Green",Rickard Doogood,Casie MacBain,PC
09-6527060,UK,150313.19,118927.8,23-01-2020,Beauty,Johns and Sons,Jessamine Apark,Jay Morefield,PC
85-3431441,Sweden,144072.9,123729.81,13-07-2019,Beauty,"Fisher, Morar and Skiles",Maxie Marrow,Anita Woakes,PC
78-3301264,Sweden,69681.43,55529.13,25-01-2020,Clothing,Romaguera-Dietrich,Maxie Marrow,Alyosha Meah,PC
02-9523107,Sweden,78542.59,68010.03,26-05-2019,Games,Kihn Inc,Maxie Marrow,Caro Morfield,PC
19-9205287,Portugal,37582.13,31967.36,07-05-2020,Appliances,Hilll-Vandervort,Celine Tumasian,Smitty Culverhouse,Mobile
94-1199389,Sweden,88329.48,73755.12,16-08-2020,Clothing,Corwin and Sons,Maxie Marrow,Caro Morfield,Mobile
88-4621939,Portugal,249099.44,215695.2,15-06-2020,Other,Johns and Sons,Celine Tumasian,Corene Shirer,PC
68-9634139,UK,28328.78,24408.08,19-02-2019,Clothing,"Dickinson, Hyatt and Berge",Jessamine Apark,Jay Morefield,PC
44-5200140,Portugal,162246.76,142663.58,28-08-2019,Games,Hessel-Stiedemann,Celine Tumasian,Corene Shirer,PC
98-6247105,Germany,161217.16,135696.48,20-10-2019,Games,Labadie and Sons,Rickard Doogood,Casie MacBain,PC
24-6566439,France,37397.43,30837.92,17-05-2020,Games,Hegmann Group,Othello Bowes,Avrit Chanders,PC
52-9152387,UK,99064.31,85393.44,10-07-2020,Books,Johns and Sons,Jessamine Apark,Winny Agnolo,PC
26-9787272,Sweden,15817.05,13743.44,10-03-2019,Clothing,Kihn Inc,Maxie Marrow,Anita Woakes,PC
12-2202467,Portugal,38930.16,32837.59,18-11-2020,Outdoors,"Spencer, Rogahn and Muller",Celine Tumasian,Brynn Dempster,PC
82-0537890,Portugal,28859.73,23656.32,09-01-2019,Electronics,Larkin-Collier,Celine Tumasian,Corene Shirer,Mobile
15-6838362,France,54079.04,45031.62,29-05-2020,Games,"Lueilwitz, Kerluke and Lesch",Othello Bowes,Avrit Chanders,PC
51-0685379,Sweden,70596.7,60564.91,09-02-2020,Electronics,Hilll-Vandervort,Maxie Marrow,Alyosha Meah,PC
76-5919033,UK,169629.55,135347.42,23-10-2019,Outdoors,Johns and Sons,Jessamine Apark,Jay Morefield,PC
34-7627348,Portugal,95387.89,76195.85,08-05-2020,Books,Gislason-Stanton,Celine Tumasian,Aurelie Wren,PC
32-1940437,France,50585.98,40999.94,29-08-2020,Beauty,"Bashirian, Okuneva and Bechtelar",Othello Bowes,Maighdiln Upcraft,Tablet
25-9913528,Sweden,103726.57,90231.74,21-05-2020,Clothing,Dibbert Inc,Maxie Marrow,Caro Morfield,Mobile
73-3464233,UK,222700.23,194951.78,12-12-2020,Appliances,Johns and Sons,Jessamine Apark,Genevra Charrisson,Mobile
04-2863062,Portugal,143322.47,114213.68,19-05-2020,Books,Johns and Sons,Celine Tumasian,Corene Shirer,PC
18-7077174,UK,128227.36,106710.81,01-06-2019,Accessories,"Murray, Reichel and Nolan",Jessamine Apark,Jay Morefield,PC
64-8300193,Sweden,127939.8,112267.17,09-12-2019,Clothing,Gislason-Stanton,Maxie Marrow,Alyosha Meah,PC
84-2858993,Sweden,146540.75,120822.85,30-04-2019,Smartphones,"Swaniawski, Runolfsson and Green",Maxie Marrow,Anita Woakes,PC
72-2647440,Portugal,36321.68,31581.7,29-10-2020,Books,Kirlin and Sons,Celine Tumasian,Smitty Culverhouse,PC
68-1806238,Spain,42814.57,35356.27,01-02-2019,Beauty,Wiza and Sons,Emalia Dinse,Perri Aldersley,PC
87-0922827,UK,169262.2,141080.04,26-04-2020,Beauty,Considine-Fisher,Jessamine Apark,Winny Agnolo,PC
33-8547717,Sweden,114427.36,93727.45,11-03-2020,Other,Tillman and Sons,Maxie Marrow,Madelon Bront,PC
15-5051694,UK,126979.62,105113.73,26-09-2019,Electronics,Dibbert Inc,Jessamine Apark,Genevra Charrisson,PC
37-2363680,Luxembourg,294874.74,259106.43,15-12-2020,Books,Morissette Group,Ilsa Kob,Jocelyn Laurentino,PC
92-4106004,UK,173258.94,143198.51,24-05-2019,Clothing,Johns and Sons,Jessamine Apark,Jay Morefield,PC
39-1671087,Luxembourg,158362.33,133990.37,14-08-2020,Books,Hessel-Stiedemann,Ilsa Kob,Jocelyn Laurentino,PC
77-9240051,UK,50689.19,43597.77,18-11-2020,Clothing,"Swaniawski, Runolfsson and Green",Jessamine Apark,Jay Morefield,PC
79-8966057,Ireland,117358.02,102664.8,02-11-2020,Clothing,Goldner-Dibbert,Glenine Suttaby,Palm Wetherald,PC
75-0683725,Sweden,93996.68,77171.27,10-10-2020,Games,"Swaniawski, Runolfsson and Green",Maxie Marrow,Alyosha Meah,Mobile
55-5032186,UK,119769.22,98234.71,11-01-2020,Books,"Bashirian, Okuneva and Bechtelar",Jessamine Apark,Jay Morefield,PC
31-8836719,France,84194.21,71885.02,26-12-2020,Books,"Zieme, Bailey and Herzog",Othello Bowes,Avrit Chanders,Mobile
64-4923214,Finland,205582.75,166748.17,22-12-2020,Beauty,Tromp LLC,Hube Corey,Wat Bowkley,PC
98-2574776,Sweden,159793.46,139180.1,15-06-2019,Smartphones,"Swaniawski, Runolfsson and Green",Maxie Marrow,Alyosha Meah,Tablet
33-0729966,Portugal,104711.22,90868.4,25-08-2020,Clothing,Marquardt-Kuvalis,Celine Tumasian,Corene Shirer,PC
07-3201531,France,69126.5,55902.6,08-12-2019,Electronics,"Farrell, Swaniawski and Crist",Othello Bowes,Avrit Chanders,PC
21-3278349,Sweden,20226.11,17408.61,23-02-2019,Electronics,Larkin-Collier,Maxie Marrow,Caro Morfield,PC
50-1695443,France,65036.81,52361.14,30-05-2019,Other,Considine-Fisher,Othello Bowes,Amelina Piscopiello,PC
52-3693331,France,254021.98,205605.39,03-07-2019,Clothing,McGlynn-Prosacco,Othello Bowes,Maighdiln Upcraft,PC
98-3033030,Luxembourg,160185.99,130487.51,27-09-2020,Accessories,"Zieme, Bailey and Herzog",Ilsa Kob,Jocelyn Laurentino,PC
34-5793997,UK,81219.67,70319.99,20-05-2020,Clothing,Hessel-Stiedemann,Jessamine Apark,Genevra Charrisson,PC
52-7280101,Portugal,108412.76,88594.91,03-08-2019,Smartphones,Romaguera-Haley,Celine Tumasian,Corene Shirer,Mobile
55-3118263,Spain,42028.45,36299.97,01-03-2020,Other,Hessel-Stiedemann,Emalia Dinse,Perri Aldersley,PC
58-9822844,Sweden,62272.96,54600.93,20-02-2019,Beauty,Romaguera-Haley,Maxie Marrow,Caro Morfield,PC
51-5324396,Sweden,91350.76,75839.4,04-02-2019,Games,Tillman and Sons,Maxie Marrow,Alyosha Meah,PC
99-5465830,UK,123272.44,101576.49,20-01-2019,Clothing,"Christiansen, Donnelly and Bechtelar",Jessamine Apark,Genevra Charrisson,Tablet
01-8696189,Luxembourg,182852.21,145440.65,28-12-2019,Outdoors,Johns and Sons,Ilsa Kob,Jocelyn Laurentino,PC
20-7636879,Portugal,118321.11,94822.54,23-11-2020,Electronics,Tillman and Sons,Celine Tumasian,Aurelie Wren,Tablet
85-8092784,UK,74295.81,63716.09,11-04-2019,Games,"Keeling, Monahan and Pollich",Jessamine Apark,Genevra Charrisson,PC
97-5905883,UK,152865.34,121130.5,06-12-2020,Clothing,Konopelski LLC,Jessamine Apark,Genevra Charrisson,PC
74-6473826,France,171458.64,148877.54,16-08-2019,Books,McGlynn-Bergstrom,Othello Bowes,Crysta Halls,PC
91-0416047,UK,156177.77,130096.08,24-12-2019,Clothing,Johns and Sons,Jessamine Apark,Winny Agnolo,PC
34-0232219,Portugal,116023.51,96566.37,02-06-2020,Smartphones,Tillman and Sons,Celine Tumasian,Smitty Culverhouse,PC
34-0783331,France,70657.26,61330.5,05-09-2020,Other,"Rowe, Hermiston and Kessler",Othello Bowes,Maighdiln Upcraft,PC
30-8215510,Netherlands,104152.15,85696.39,06-05-2019,Smartphones,"Swaniawski, Runolfsson and Green",Denice Amberg,Nero Harbisher,Mobile
95-3196761,Portugal,84224.98,68239.08,21-01-2019,Appliances,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,Mobile
99-3651863,Portugal,172505.24,139125.48,02-10-2020,Accessories,Romaguera-Haley,Celine Tumasian,Brynn Dempster,PC
94-8641337,Portugal,89830.34,76795.96,19-04-2019,Games,Johns and Sons,Celine Tumasian,Aurelie Wren,Tablet
36-2694099,Netherlands,353925.06,287528.72,04-12-2020,Clothing,Corwin and Sons,Denice Amberg,Nero Harbisher,PC
40-5308505,France,141436.98,114691.25,26-05-2019,Outdoors,Walter LLC,Othello Bowes,Maighdiln Upcraft,PC
68-8279682,UK,178465.4,156282.15,27-04-2020,Accessories,Romaguera-Haley,Jessamine Apark,Winny Agnolo,PC
50-2481520,Sweden,110092.84,92797.25,29-06-2020,Other,"Rowe, Hermiston and Kessler",Maxie Marrow,Anita Woakes,Tablet
46-1054213,UK,154715.49,126572.74,23-10-2020,Electronics,Smith Group,Jessamine Apark,Genevra Charrisson,PC
40-9497268,Sweden,92877.57,75936.7,05-04-2020,Electronics,Wisoky Inc,Maxie Marrow,Madelon Bront,Mobile
54-5107115,France,66141.13,53435.42,26-05-2019,Clothing,Stehr LLC,Othello Bowes,Ora Grennan,PC
15-7053450,Germany,241782.39,196544.91,09-06-2020,Appliances,Johns and Sons,Rickard Doogood,Casie MacBain,PC
36-2012010,Portugal,211872.69,177930.69,23-07-2019,Games,Johns and Sons,Celine Tumasian,Hortense Gerring,Mobile
61-7521706,Portugal,170408.23,143432.61,03-11-2020,Clothing,Romaguera-Haley,Celine Tumasian,Aurelie Wren,Mobile
17-0893784,Sweden,157683.41,130624.94,08-06-2019,Electronics,Hegmann Group,Maxie Marrow,Alyosha Meah,Tablet
23-5766200,Portugal,116157.89,97166.07,14-11-2019,Games,"Parisian, Steuber and Satterfield",Celine Tumasian,Hortense Gerring,PC
24-3140242,France,56106.13,45081.27,12-03-2020,Electronics,"Rowe, Hermiston and Kessler",Othello Bowes,Amelina Piscopiello,PC
81-0573181,Sweden,40385.45,32591.06,15-07-2020,Smartphones,Armstrong-Little,Maxie Marrow,Tarrah Castelletti,PC
13-1936536,UK,112491.58,92254.34,24-10-2019,Appliances,Hessel-Stiedemann,Jessamine Apark,Genevra Charrisson,Mobile
94-8026718,Finland,200635.57,172245.64,11-12-2019,Clothing,Larkin-Collier,Hube Corey,Wat Bowkley,PC
81-5976459,Portugal,243176.92,202250.24,03-07-2020,Appliances,Gislason-Stanton,Celine Tumasian,Hortense Gerring,PC
28-6038070,Portugal,52227.07,45124.19,14-03-2019,Books,"Farrell, Swaniawski and Crist",Celine Tumasian,Corene Shirer,PC
81-7970957,Bulgaria,147672.87,129110.39,15-10-2019,Electronics,Homenick-Marvin,Charil Alpe,Bernadine Fullagar,PC
60-8646184,France,149500.61,125401.11,24-07-2020,Games,McGlynn-Bergstrom,Othello Bowes,Crysta Halls,PC
32-2114915,France,53089.52,44812.86,24-08-2019,Beauty,Goldner-Dibbert,Othello Bowes,Crysta Halls,PC
58-7865136,France,85223.07,73002.08,15-09-2019,Beauty,"Hamill, Kulas and Roob",Othello Bowes,Maighdiln Upcraft,PC
98-9112505,Denmark,58948.52,49416.54,20-05-2020,Clothing,Wisoky Inc,Modestia Byfford,Case Desorts,PC
03-0455038,Portugal,165696.9,132275.84,22-10-2020,Electronics,Franecki-White,Celine Tumasian,Aurelie Wren,PC
71-0122842,Sweden,177993.88,145029.41,02-12-2019,Outdoors,Johns and Sons,Maxie Marrow,Alyosha Meah,Tablet
55-1395838,France,108713.83,90341.19,09-03-2020,Clothing,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,PC
95-7886861,Finland,25816.05,21447.97,08-09-2019,Clothing,Smith Group,Hube Corey,Mellicent Mattys,Mobile
19-3013452,Portugal,154072.89,121887.06,30-09-2020,Beauty,"Rowe, Hermiston and Kessler",Celine Tumasian,Smitty Culverhouse,PC
54-5082146,Finland,194962.05,154975.33,05-07-2020,Appliances,"Rowe, Hermiston and Kessler",Hube Corey,Mellicent Mattys,PC
